sensor1,sensor2,sensor3,sensor4,labels
496,481,493,466,Lhemiplegia
495,484,485,462,Lhemiplegia
495,482,479,461,Lhemiplegia
505,479,475,481,Lhemiplegia
515,477,473,495,Lhemiplegia
517,470,471,497,Lhemiplegia
518,448,469,499,Lhemiplegia
518,435,468,503,Lhemiplegia
514,427,467,504,Lhemiplegia
511,420,468,505,Lhemiplegia
508,419,495,504,Lhemiplegia
506,415,514,506,Lhemiplegia
505,416,514,498,Lhemiplegia
502,431,512,488,Lhemiplegia
500,451,512,425,Lhemiplegia
494,482,483,492,Lhemiplegia
496,483,478,482,Lhemiplegia
508,483,474,491,Lhemiplegia
514,482,471,498,Lhemiplegia
518,471,469,496,Lhemiplegia
519,449,468,499,Lhemiplegia
518,435,467,503,Lhemiplegia
518,427,466,505,Lhemiplegia
517,422,467,505,Lhemiplegia
515,417,509,504,Lhemiplegia
510,428,513,505,Lhemiplegia
507,444,513,495,Lhemiplegia
505,443,510,485,Lhemiplegia
504,447,509,477,Lhemiplegia
501,459,508,473,Lhemiplegia
499,468,506,469,Lhemiplegia
498,471,501,466,Lhemiplegia
497,475,491,464,Lhemiplegia
496,478,483,463,Lhemiplegia
496,479,478,462,Lhemiplegia
505,479,474,466,Lhemiplegia
514,478,471,487,Lhemiplegia
519,468,469,494,Lhemiplegia
520,446,468,497,Lhemiplegia
520,434,466,502,Lhemiplegia
521,425,465,506,Lhemiplegia
520,420,464,506,Lhemiplegia
519,417,504,504,Lhemiplegia
515,413,515,504,Lhemiplegia
511,412,517,502,Lhemiplegia
509,413,515,490,Lhemiplegia
506,415,514,480,Lhemiplegia
504,418,512,475,Lhemiplegia
503,427,509,475,Lhemiplegia
501,453,503,468,Lhemiplegia
499,470,493,465,Lhemiplegia
498,476,485,463,Lhemiplegia
497,479,480,462,Lhemiplegia
499,481,476,462,Lhemiplegia
513,479,472,486,Lhemiplegia
518,470,470,495,Lhemiplegia
519,447,469,501,Lhemiplegia
519,433,468,508,Lhemiplegia
517,425,467,510,Lhemiplegia
516,418,464,511,Lhemiplegia
514,415,472,509,Lhemiplegia
512,411,513,508,Lhemiplegia
508,411,517,509,Lhemiplegia
505,406,515,494,Lhemiplegia
502,419,514,483,Lhemiplegia
501,450,509,475,Lhemiplegia
499,471,500,471,Lhemiplegia
498,479,491,467,Lhemiplegia
496,480,483,465,Lhemiplegia
496,480,478,464,Lhemiplegia
499,478,475,464,Lhemiplegia
512,478,473,501,Lhemiplegia
516,467,470,508,Lhemiplegia
517,444,468,509,Lhemiplegia
517,432,467,509,Lhemiplegia
517,423,466,509,Lhemiplegia
517,418,468,510,Lhemiplegia
517,415,470,508,Lhemiplegia
514,412,516,509,Lhemiplegia
510,412,520,510,Lhemiplegia
508,408,519,499,Lhemiplegia
505,405,517,487,Lhemiplegia
503,404,516,479,Lhemiplegia
501,410,515,473,Lhemiplegia
499,421,511,469,Lhemiplegia
497,463,504,466,Lhemiplegia
496,476,494,464,Lhemiplegia
496,479,487,462,Lhemiplegia
495,482,481,463,Lhemiplegia
495,481,478,473,Lhemiplegia
511,482,474,503,Lhemiplegia
517,465,472,508,Lhemiplegia
519,443,471,509,Lhemiplegia
519,431,469,510,Lhemiplegia
520,424,468,513,Lhemiplegia
520,419,489,512,Lhemiplegia
518,415,510,510,Lhemiplegia
513,431,513,509,Lhemiplegia
510,433,511,498,Lhemiplegia
506,436,510,487,Lhemiplegia
