sensor1,sensor2,sensor3,sensor4,labels
499,401,498,502,downstairs
497,472,491,496,downstairs
495,506,481,492,downstairs
494,503,471,488,downstairs
511,501,463,486,downstairs
514,491,456,486,downstairs
514,479,451,483,downstairs
514,466,449,484,downstairs
513,457,447,503,downstairs
510,447,445,518,downstairs
505,442,444,523,downstairs
503,438,443,526,downstairs
501,434,503,527,downstairs
499,432,504,512,downstairs
498,427,501,503,downstairs
496,427,495,495,downstairs
494,476,489,491,downstairs
494,499,478,486,downstairs
493,497,469,484,downstairs
512,496,460,483,downstairs
513,483,455,481,downstairs
512,466,451,486,downstairs
509,455,448,506,downstairs
504,445,446,511,downstairs
501,438,444,513,downstairs
499,434,443,516,downstairs
498,430,476,518,downstairs
496,432,500,512,downstairs
494,425,501,500,downstairs
493,422,500,493,downstairs
491,431,496,487,downstairs
491,483,492,483,downstairs
490,498,480,480,downstairs
507,496,470,479,downstairs
512,493,462,480,downstairs
513,474,456,479,downstairs
513,458,452,487,downstairs
512,448,449,504,downstairs
507,440,446,511,downstairs
503,434,445,515,downstairs
500,431,443,518,downstairs
499,427,496,518,downstairs
497,426,503,509,downstairs
495,423,503,498,downstairs
493,419,501,490,downstairs
492,416,500,485,downstairs
491,413,499,481,downstairs
490,412,499,478,downstairs
489,412,496,476,downstairs
515,466,485,476,downstairs
518,477,475,476,downstairs
516,452,467,473,downstairs
515,438,460,472,downstairs
514,430,455,472,downstairs
512,424,451,472,downstairs
510,420,449,472,downstairs
505,417,446,473,downstairs
502,414,444,473,downstairs
500,412,480,474,downstairs
499,411,502,473,downstairs
497,409,502,474,downstairs
496,407,502,475,downstairs
494,406,501,475,downstairs
493,405,499,475,downstairs
492,404,494,476,downstairs
493,403,483,477,downstairs
515,402,472,479,downstairs
514,401,464,477,downstairs
513,400,458,477,downstairs
508,399,453,478,downstairs
504,399,450,477,downstairs
502,398,447,477,downstairs
499,397,445,478,downstairs
497,396,443,478,downstairs
495,395,476,479,downstairs
494,398,506,479,downstairs
492,396,504,479,downstairs
491,395,503,480,downstairs
490,394,501,483,downstairs
489,394,499,481,downstairs
488,393,497,481,downstairs
488,393,488,481,downstairs
516,391,478,484,downstairs
515,392,468,481,downstairs
515,391,461,482,downstairs
514,391,455,482,downstairs
514,390,451,482,downstairs
512,390,448,482,downstairs
507,390,447,482,downstairs
504,390,499,483,downstairs
502,390,504,483,downstairs
499,389,503,483,downstairs
497,389,501,484,downstairs
496,389,501,485,downstairs
494,389,499,485,downstairs
493,389,495,484,downstairs
515,389,483,486,downstairs
516,387,473,486,downstairs
514,389,464,485,downstairs
511,389,457,484,downstairs
509,389,453,484,downstairs
505,388,450,484,downstairs
502,388,447,485,downstairs
499,389,503,485,downstairs
497,389,506,485,downstairs
496,389,504,486,downstairs
494,389,501,486,downstairs
492,389,499,485,downstairs
491,389,494,486,downstairs
492,388,482,487,downstairs
516,388,473,488,downstairs
515,389,465,486,downstairs
515,389,458,487,downstairs
512,389,453,486,downstairs
508,389,449,486,downstairs
504,389,447,486,downstairs
501,390,445,487,downstairs
499,390,482,486,downstairs
497,392,512,487,downstairs
495,391,510,489,downstairs
494,391,508,497,downstairs
