sensor1,sensor2,sensor3,sensor4,labels
482,508,482,510,jump
478,510,470,518,jump
478,502,463,506,jump
477,491,460,490,jump
477,482,458,479,jump
477,500,458,503,jump
479,507,470,512,jump
477,509,466,516,jump
477,503,461,504,jump
476,492,458,489,jump
476,483,456,478,jump
476,495,458,504,jump
484,512,489,511,jump
479,514,473,515,jump
478,509,465,505,jump
478,498,462,491,jump
477,488,460,479,jump
476,504,458,503,jump
477,510,457,512,jump
476,512,456,516,jump
477,506,455,503,jump
476,495,455,488,jump
476,487,455,477,jump
475,500,456,500,jump
480,508,481,510,jump
478,509,470,514,jump
478,503,464,504,jump
477,496,461,490,jump
477,488,458,480,jump
477,485,456,498,jump
482,504,476,506,jump
478,507,465,512,jump
477,500,461,504,jump
477,490,458,491,jump
477,481,457,479,jump
476,494,457,499,jump
484,505,498,508,jump
479,508,483,512,jump
478,503,474,503,jump
478,492,469,490,jump
477,483,467,478,jump
477,498,463,494,jump
489,507,499,507,jump
482,510,484,512,jump
481,507,475,503,jump
480,496,470,489,jump
479,486,466,478,jump
479,496,464,494,jump
478,512,462,507,jump
477,514,459,516,jump
477,507,458,507,jump
477,497,457,492,jump
477,488,456,480,jump
476,481,456,485,jump
498,508,499,505,jump
485,511,491,510,jump
482,510,480,510,jump
481,502,474,496,jump
480,492,469,482,jump
479,484,466,477,jump
479,505,497,503,jump
480,509,496,509,jump
478,509,489,508,jump
477,505,480,505,jump
477,495,474,489,jump
477,486,470,480,jump
505,500,467,496,jump
509,506,504,507,jump
504,507,496,509,jump
495,504,485,505,jump
491,493,478,489,jump
489,484,474,479,jump
491,502,496,499,jump
493,506,500,510,jump
488,507,488,513,jump
487,500,480,501,jump
486,490,474,486,jump
484,482,472,476,jump
498,506,489,500,jump
489,509,484,509,jump
485,510,474,511,jump
484,502,469,501,jump
483,492,467,487,jump
482,485,465,477,jump
504,501,504,497,jump
494,506,499,503,jump
488,506,487,505,jump
487,497,478,494,jump
485,488,474,482,jump
484,498,469,488,jump
507,507,508,501,jump
501,508,507,509,jump
494,509,495,509,jump
490,501,484,496,jump
488,492,479,484,jump
486,492,474,499,jump
496,505,495,505,jump
489,508,488,510,jump
487,507,479,510,jump
485,498,472,496,jump
484,488,469,483,jump
483,497,466,498,jump
495,505,499,503,jump
488,508,494,505,jump
485,507,483,506,jump
484,498,475,490,jump
483,488,471,478,jump
482,508,467,500,jump
491,515,489,511,jump
485,516,478,516,jump
484,510,471,506,jump
482,500,467,492,jump
482,492,465,480,jump
498,501,490,500,jump
494,505,504,509,jump
488,506,494,515,jump
485,499,482,507,jump
484,490,477,492,jump
483,483,472,481,jump
493,507,469,504,jump
486,509,480,509,jump
484,510,471,511,jump
482,500,468,503,jump
481,490,465,487,jump
480,497,462,497,jump
496,514,487,508,jump
485,516,478,516,jump
483,515,470,518,jump
482,504,464,503,jump
480,494,463,488,jump
480,499,461,495,jump
493,508,499,507,jump
487,510,496,510,jump
483,511,485,510,jump
482,501,476,497,jump
481,491,472,484,jump
480,500,468,501,jump
492,508,495,506,jump
486,511,484,510,jump
483,510,474,510,jump
482,500,469,496,jump
481,491,466,483,jump
480,497,462,496,jump
492,508,491,505,jump
485,511,477,513,jump
483,509,470,509,jump
481,500,465,494,jump
480,491,463,481,jump
480,504,462,501,jump
487,510,489,504,jump
482,512,478,508,jump
481,506,470,501,jump
480,497,465,488,jump
480,489,463,478,jump
479,503,462,503,jump
491,511,486,506,jump
485,513,475,510,jump
483,508,468,505,jump
482,500,463,490,jump
480,491,461,479,jump
480,502,460,504,jump
490,508,501,513,jump
485,510,493,519,jump
483,505,481,516,jump
482,496,475,499,jump
480,486,471,485,jump
480,505,467,504,jump
489,511,490,513,jump
484,512,479,516,jump
483,505,471,505,jump
481,496,467,491,jump
480,488,465,480,jump
490,506,491,503,jump
492,510,501,509,jump
486,511,491,511,jump
485,504,481,501,jump
483,494,475,487,jump
481,487,471,478,jump
484,511,467,501,jump
489,514,484,506,jump
484,515,474,508,jump
483,508,467,496,jump
481,498,465,482,jump
480,489,461,479,jump
495,511,462,503,jump
486,515,478,515,jump
483,514,467,514,jump
482,507,464,500,jump
480,496,461,485,jump
479,488,459,480,jump
488,509,486,504,jump
485,513,484,511,jump
481,512,473,512,jump
481,505,468,497,jump
480,495,464,485,jump
479,489,461,478,jump
481,510,478,505,jump
480,513,475,515,jump
479,512,466,513,jump
478,502,463,498,jump
478,492,461,483,jump
477,489,459,494,jump
494,506,505,505,jump
484,509,501,510,jump
481,508,491,510,jump
480,499,484,495,jump
479,490,480,482,jump
479,491,476,491,jump
504,509,505,503,jump
491,513,500,512,jump
487,513,488,511,jump
484,504,482,497,jump
483,495,476,483,jump
482,487,476,497,jump
482,511,472,507,jump
480,512,470,515,jump
479,510,467,512,jump
478,500,467,495,jump
478,491,465,481,jump
477,500,464,500,jump
494,507,505,505,jump
488,507,501,507,jump
484,506,488,506,jump
482,495,480,492,jump
481,486,476,480,jump
482,504,473,498,jump
499,511,506,504,jump
492,513,497,508,jump
488,508,486,501,jump
486,498,479,488,jump
484,488,476,477,jump
483,515,473,507,jump
482,519,485,514,jump
481,519,475,515,jump
481,512,470,503,jump
480,503,469,488,jump
479,495,466,480,jump
500,510,503,502,jump
488,511,506,509,jump
484,512,496,511,jump
482,506,486,499,jump
481,497,479,486,jump
480,492,475,497,jump
500,503,500,502,jump
489,505,503,505,jump
485,505,492,505,jump
484,497,482,494,jump
482,489,478,481,jump
481,489,472,499,jump
501,512,508,503,jump
489,514,498,508,jump
485,514,486,508,jump
483,505,478,495,jump
481,496,475,481,jump
480,496,471,497,jump
490,505,521,510,jump
482,506,511,516,jump
480,506,497,516,jump
479,496,489,501,jump
479,487,484,486,jump
478,496,479,503,jump
490,507,504,507,jump
483,509,497,509,jump
482,508,487,511,jump
481,500,480,499,jump
479,490,477,484,jump
479,491,474,496,jump
480,506,499,504,jump
478,509,485,510,jump
478,508,476,511,jump
477,501,474,497,jump
477,491,472,484,jump
476,498,471,504,jump
488,509,493,506,jump
482,511,484,509,jump
481,509,476,509,jump
479,500,472,495,jump
479,491,468,483,jump
478,499,468,501,jump
480,506,494,507,jump
478,508,484,510,jump
477,503,476,504,jump
477,495,471,490,jump
477,486,469,478,jump
477,504,466,497,jump
491,511,491,506,jump
485,512,482,509,jump
482,509,474,505,jump
480,501,468,491,jump
480,492,466,478,jump
488,506,484,496,jump
489,510,491,502,jump
484,511,483,505,jump
482,505,475,496,jump
481,497,470,484,jump
480,489,467,475,jump
479,504,464,505,jump
480,508,464,515,jump
478,508,462,517,jump
478,501,462,504,jump
478,491,460,488,jump
477,484,460,480,jump
488,506,495,504,jump
482,510,492,510,jump
479,510,484,510,jump
478,501,480,495,jump
477,492,476,482,jump
477,489,477,492,jump
489,513,497,507,jump
480,516,485,515,jump
479,514,478,510,jump
478,504,473,493,jump
477,495,471,480,jump
476,508,467,502,jump
476,514,466,512,jump
475,515,464,516,jump
475,508,463,505,jump
476,499,462,490,jump
475,491,462,479,jump
475,507,462,504,jump
486,509,491,510,jump
482,510,480,512,jump
480,505,474,502,jump
479,496,470,490,jump
478,488,466,487,jump
490,506,497,503,jump
483,508,494,509,jump
481,509,486,510,jump
479,502,479,500,jump
478,492,476,485,jump
477,490,469,487,jump
478,510,468,510,jump
476,514,465,513,jump
476,510,464,510,jump
476,502,463,493,jump
476,493,462,481,jump
475,499,462,498,jump
490,509,492,507,jump
483,510,479,511,jump
481,506,473,507,jump
479,497,469,492,jump
478,488,466,480,jump
478,507,465,502,jump
477,511,483,511,jump
477,510,473,515,jump
477,501,469,502,jump
477,492,465,487,jump
476,484,463,499,jump
490,508,485,507,jump
482,511,478,513,jump
479,511,469,513,jump
478,503,466,500,jump
477,494,464,486,jump
477,491,463,489,jump
488,510,495,505,jump
480,513,487,509,jump
478,512,479,506,jump
478,502,473,491,jump
477,492,470,479,jump
477,507,467,501,jump
485,512,481,505,jump
481,513,471,508,jump
480,508,465,498,jump
479,497,464,487,jump
478,490,462,477,jump
479,506,461,502,jump
484,511,490,508,jump
480,512,480,510,jump
479,504,473,498,jump
479,495,469,483,jump
477,489,465,487,jump
493,505,493,501,jump
483,508,488,505,jump
481,507,479,505,jump
479,495,473,490,jump
479,486,468,478,jump
478,507,466,500,jump
478,517,486,509,jump
476,519,475,515,jump
477,515,470,506,jump
477,505,465,491,jump
476,497,463,479,jump
477,502,464,500,jump
488,509,482,507,jump
483,509,471,513,jump
481,506,466,512,jump
479,499,464,496,jump
479,491,462,482,jump
479,501,462,504,jump
487,505,493,507,jump
482,506,482,510,jump
481,500,476,506,jump
480,494,470,491,jump
479,489,466,480,jump
480,504,465,504,jump
479,508,486,513,jump
479,507,476,514,jump
478,499,470,500,jump
477,492,466,484,jump
477,490,464,490,jump
477,503,476,508,jump
477,507,477,516,jump
476,504,469,511,jump
476,494,465,495,jump
476,485,462,482,jump
475,497,462,496,jump
488,505,492,507,jump
481,505,479,512,jump
479,502,472,507,jump
478,494,467,492,jump
478,487,465,480,jump
477,501,463,503,jump
479,506,465,511,jump
478,507,461,514,jump
477,500,460,504,jump
477,491,459,490,jump
476,484,460,479,jump
485,503,479,502,jump
482,506,485,510,jump
480,507,476,511,jump
479,502,469,501,jump
478,493,466,487,jump
477,485,464,479,jump
481,504,462,506,jump
484,507,481,511,jump
481,508,472,511,jump
480,498,467,497,jump
479,488,464,482,jump
478,505,460,496,jump
496,508,505,505,jump
488,510,503,507,jump
485,508,491,503,jump
484,498,483,488,jump
482,490,479,477,jump
482,500,476,501,jump
487,506,496,507,jump
484,507,483,509,jump
482,500,475,498,jump
480,491,472,485,jump
480,484,468,479,jump
480,509,489,507,jump
479,514,485,512,jump
478,513,476,512,jump
478,502,470,495,jump
478,493,466,480,jump
477,491,465,495,jump
488,505,492,506,jump
480,507,484,510,jump
478,507,475,506,jump
478,497,469,492,jump
478,489,466,479,jump
477,493,464,502,jump
493,504,491,506,jump
485,505,480,510,jump
482,501,472,506,jump
481,490,467,490,jump
480,483,464,479,jump
479,509,464,509,jump
479,516,476,514,jump
478,516,466,517,jump
478,507,463,505,jump
478,497,461,490,jump
477,488,461,480,jump
483,507,490,505,jump
484,509,493,510,jump
480,509,481,511,jump
480,501,474,500,jump
479,491,470,486,jump
478,484,467,478,jump
478,508,464,507,jump
477,512,469,514,jump
477,511,464,514,jump
477,501,462,497,jump
477,492,460,483,jump
477,485,460,491,jump
487,508,489,506,jump
480,510,480,510,jump
478,510,471,510,jump
478,500,466,495,jump
477,490,463,481,jump
477,484,463,491,jump
494,513,480,504,jump
483,514,476,509,jump
481,510,468,503,jump
480,498,464,489,jump
479,488,462,477,jump
479,510,461,502,jump
477,518,481,512,jump
478,519,470,515,jump
477,511,464,504,jump
477,499,461,490,jump
477,491,460,480,jump
494,507,489,501,jump
485,511,495,507,jump
482,511,487,508,jump
481,504,477,499,jump
480,493,473,486,jump
479,486,469,477,jump
479,508,466,501,jump
479,511,484,510,jump
478,510,474,511,jump
478,503,467,499,jump
478,494,465,483,jump
477,487,462,494,jump
478,505,484,505,jump
477,508,482,511,jump
477,507,473,510,jump
477,499,467,495,jump
476,490,463,480,jump
476,487,462,494,jump
484,505,488,506,jump
478,507,475,512,jump
478,504,468,510,jump
478,494,464,495,jump
477,485,462,481,jump
476,502,460,504,jump
481,506,498,507,jump
479,508,491,509,jump
478,504,480,506,jump
477,496,475,492,jump
477,487,471,480,jump
476,512,469,499,jump
476,520,468,511,jump
476,520,464,514,jump
476,512,461,503,jump
476,503,461,488,jump
477,495,460,477,jump
476,502,459,500,jump
479,507,467,511,jump
477,507,461,513,jump
476,499,459,501,jump
476,490,458,486,jump
476,484,458,480,jump
478,506,482,505,jump
477,508,480,510,jump
477,509,470,509,jump
477,498,465,497,jump
476,489,463,483,jump
476,488,461,494,jump
490,502,502,502,jump
484,504,500,504,jump
481,504,488,505,jump
480,494,480,490,jump
479,485,476,478,jump
480,500,472,497,jump
486,506,492,502,jump
481,508,479,506,jump
479,502,471,498,jump
479,493,468,483,jump
478,485,465,475,jump
478,501,486,504,jump
478,505,484,513,jump
478,505,474,513,jump
478,496,467,498,jump
477,487,465,483,jump
477,480,463,505,jump
487,507,465,508,jump
480,509,466,513,jump
479,507,462,512,jump
479,497,460,498,jump
478,487,460,484,jump
477,486,459,493,jump
492,504,493,505,jump
483,506,481,508,jump
480,505,473,509,jump
479,497,467,495,jump
479,487,464,482,jump
479,488,464,496,jump
486,505,497,504,jump
481,508,485,507,jump
479,504,476,503,jump
479,495,470,488,jump
479,485,467,476,jump
478,497,463,500,jump
481,511,472,504,jump
479,512,464,510,jump
478,506,461,504,jump
478,497,459,489,jump
477,487,459,477,jump
477,501,459,501,jump
480,505,488,509,jump
478,506,475,512,jump
478,501,468,502,jump
477,491,464,486,jump
477,484,462,477,jump
491,508,462,500,jump
483,511,490,508,jump
482,513,478,507,jump
481,504,471,496,jump
480,495,467,481,jump
479,487,464,474,jump
483,504,464,503,jump
482,509,488,510,jump
480,510,478,510,jump
480,501,470,497,jump
480,490,466,482,jump
479,485,463,478,jump
479,509,475,507,jump
478,512,477,513,jump
478,509,468,511,jump
478,499,464,494,jump
478,489,462,480,jump
478,491,459,491,jump
479,509,480,507,jump
477,511,468,513,jump
477,508,462,511,jump
477,498,460,495,jump
477,489,459,482,jump
477,489,462,495,jump
487,508,491,507,jump
481,510,479,510,jump
480,508,471,507,jump
479,498,466,493,jump
478,488,464,481,jump
483,503,461,500,jump
489,507,500,503,jump
484,507,494,504,jump
483,503,481,495,jump
481,493,477,482,jump
480,485,472,474,jump
485,502,491,501,jump
483,504,492,509,jump
481,504,481,510,jump
480,497,473,495,jump
480,488,470,481,jump
479,482,466,484,jump
496,507,491,501,jump
486,512,488,507,jump
483,512,478,506,jump
482,501,471,492,jump
481,491,466,480,jump
481,485,467,488,jump
483,507,469,504,jump
480,509,470,511,jump
480,505,464,507,jump
479,494,462,490,jump
479,485,462,477,jump
479,504,459,501,jump
478,509,458,509,jump
478,510,457,514,jump
478,504,458,505,jump
478,494,457,490,jump
477,485,457,478,jump
477,502,458,502,jump
477,506,479,508,jump
477,508,467,512,jump
478,502,462,502,jump
477,492,461,488,jump
477,484,459,476,jump
477,502,461,502,jump
482,506,489,506,jump
480,507,478,508,jump
479,502,471,501,jump
479,493,467,487,jump
478,486,463,476,jump
478,502,462,504,jump
477,505,485,511,jump
477,507,472,512,jump
478,499,467,497,jump
477,489,463,483,jump
477,483,462,475,jump
480,502,493,501,jump
480,505,490,509,jump
479,505,479,509,jump
479,496,471,493,jump
478,487,468,479,jump
477,480,468,482,jump
479,505,462,506,jump
478,508,460,511,jump
478,505,458,510,jump
478,495,458,494,jump
478,485,458,480,jump
478,484,458,493,jump
482,499,497,506,jump
478,500,482,511,jump
478,498,474,508,jump
478,489,469,492,jump
477,480,466,479,jump
477,478,464,495,jump
483,505,464,505,jump
479,507,473,510,jump
479,504,465,506,jump
478,494,462,490,jump
479,484,460,477,jump
477,495,459,494,jump
477,507,495,508,jump
478,508,481,512,jump
477,502,471,502,jump
478,493,468,487,jump
478,485,465,476,jump
478,497,461,504,jump
477,511,461,511,jump
477,511,459,513,jump
477,499,457,500,jump
478,489,457,485,jump
477,482,458,475,jump
477,509,486,504,jump
477,510,485,510,jump
477,510,475,512,jump
477,503,468,502,jump
477,494,465,487,jump
476,485,463,477,jump
499,505,500,502,jump
486,509,495,507,jump
483,509,487,509,jump
482,503,478,502,jump
482,494,474,488,jump
480,487,472,478,jump
498,507,502,502,jump
488,510,496,509,jump
485,510,485,510,jump
484,502,478,497,jump
483,494,474,483,jump
481,494,475,473,jump
483,507,482,504,jump
481,509,475,509,jump
480,508,468,510,jump
481,498,465,495,jump
480,489,463,481,jump
