sensor1,sensor2,sensor3,sensor4,labels
513,480,469,486,walk
509,476,467,503,walk
502,472,465,506,walk
500,470,484,511,walk
498,469,514,496,walk
496,498,514,485,walk
495,501,514,473,walk
494,505,514,466,walk
493,508,512,460,walk
492,510,506,457,walk
504,514,494,454,walk
516,505,485,454,walk
515,496,479,453,walk
513,488,476,461,walk
511,482,473,482,walk
504,476,470,492,walk
500,473,469,507,walk
497,469,497,509,walk
496,485,514,495,walk
494,500,514,483,walk
493,505,513,472,walk
492,507,512,465,walk
492,508,509,459,walk
492,513,500,456,walk
506,514,490,453,walk
515,504,482,453,walk
514,495,478,450,walk
515,488,475,478,walk
511,481,471,495,walk
505,477,469,503,walk
500,472,468,508,walk
498,469,500,507,walk
496,487,514,493,walk
495,502,513,481,walk
494,508,512,471,walk
492,509,509,464,walk
492,512,506,460,walk
491,513,496,456,walk
503,513,486,453,walk
516,507,480,452,walk
516,498,476,454,walk
516,490,472,472,walk
514,484,469,485,walk
513,479,468,499,walk
505,474,463,500,walk
501,470,464,506,walk
499,468,513,502,walk
497,499,514,486,walk
495,505,514,475,walk
494,507,512,467,walk
493,509,511,462,walk
493,511,505,458,walk
492,513,493,454,walk
510,512,484,452,walk
515,502,479,451,walk
516,493,475,479,walk
514,486,472,495,walk
510,481,470,505,walk
503,476,467,510,walk
500,472,465,513,walk
498,469,502,512,walk
496,486,515,502,walk
495,501,514,487,walk
494,506,513,477,walk
493,509,512,470,walk
492,510,508,464,walk
492,512,496,460,walk
505,512,486,456,walk
515,505,481,457,walk
515,495,476,453,walk
515,488,473,483,walk
510,482,470,494,walk
504,477,468,498,walk
499,473,465,502,walk
497,470,467,503,walk
496,468,512,494,walk
494,502,513,483,walk
493,506,513,473,walk
493,508,512,466,walk
492,508,510,460,walk
491,509,506,456,walk
493,512,494,454,walk
510,511,485,453,walk
513,500,480,457,walk
515,492,476,471,walk
515,486,472,476,walk
515,480,470,485,walk
511,475,467,495,walk
503,471,465,501,walk
501,469,498,504,walk
498,480,514,493,walk
496,502,515,480,walk
495,507,514,471,walk
494,508,511,464,walk
493,509,508,458,walk
492,511,499,456,walk
503,514,488,453,walk
511,506,482,453,walk
513,498,477,470,walk
514,490,474,478,walk
513,484,471,483,walk
508,478,466,492,walk
501,473,465,496,walk
498,470,466,503,walk
496,467,510,498,walk
495,500,515,483,walk
494,507,514,473,walk
493,509,511,465,walk
492,510,508,459,walk
491,511,505,456,walk
491,515,492,453,walk
508,513,483,452,walk
513,503,479,453,walk
513,494,475,462,walk
512,487,472,476,walk
507,481,469,488,walk
500,476,466,502,walk
498,472,465,510,walk
496,470,509,509,walk
494,493,517,494,walk
493,502,516,480,walk
492,505,516,471,walk
492,505,514,464,walk
491,507,512,459,walk
491,510,500,456,walk
512,511,491,455,walk
515,499,483,457,walk
514,490,479,474,walk
511,483,476,485,walk
504,478,473,495,walk
499,473,470,505,walk
497,470,469,510,walk
496,468,511,505,walk
495,500,515,488,walk
493,507,513,477,walk
492,509,510,468,walk
491,510,503,462,walk
490,512,492,458,walk
492,514,484,455,walk
510,511,479,454,walk
